ensgs,enformer_set,sel_start,sel_end,tss,chrom
ENSG00000198246,train,71223612,71354684,71319258,10
ENSG00000183770,train,138837686,138968758,138947140,3
ENSG00000168495,train,22189794,22320866,22245104,8
ENSG00000138738,train,120846837,120977909,120922870,4
ENSG00000136935,train,124898088,125029160,124948492,9
ENSG00000250673,train,146168051,146299123,146214515,4
ENSG00000108774,train,42089349,42220421,42155044,17
ENSG00000092421,train,116497320,116628392,116574934,5
ENSG00000102468,train,46822183,46953255,46897076,13
ENSG00000123454,train,133557156,133688228,133636360,9
ENSG00000123453,train,133688354,133819426,133739955,9
ENSG00000221880,train,40974166,41105238,41034855,17
ENSG00000269113,train,47921555,48052627,47996895,1
ENSG00000155561,train,135471571,135602643,135557919,7
ENSG00000198435,train,137203090,137334162,137302251,9
ENSG00000181585,train,46620146,46751218,46701333,3
ENSG00000148660,train,73781973,73913045,73874591,10
ENSG00000181656,train,100466354,100597426,100538137,1
ENSG00000187238,train,152537178,152668250,152613811,1
ENSG00000105929,train,138751521,138882593,138799560,7
ENSG00000153037,train,112758177,112889249,112861222,5
ENSG00000225940,train,56538509,56669581,56606232,5
ENSG00000070081,train,17115740,17246812,17208153,11
ENSG00000164089,train,108711022,108842094,108763054,4
ENSG00000214021,train,9718652,9849724,9808086,3
ENSG00000223614,valid,64112425,64243497,64207090,7
ENSG00000108671,train,32380697,32511769,32444261,17
ENSG00000127366,train,141703476,141834548,141790217,7
ENSG00000122870,train,58431807,58562879,58513140,10
ENSG00000173013,train,6951868,7082940,7042939,4
ENSG00000143627,train,155226737,155357809,155301434,1
ENSG00000105939,train,139013917,139144989,139109719,7
ENSG00000007376,train,731589,862661,788397,16
ENSG00000205835,test,190811871,190942943,190892429,3
ENSG00000244165,test,10008690,10139762,10111538,19
ENSG00000171159,train,128112439,128243511,128160260,9
ENSG00000176299,test,19726402,19857474,19773504,14
ENSG00000213923,train,38230163,38361235,38318084,22
ENSG00000185479,train,52369849,52500921,52452126,12
ENSG00000160229,valid,20752890,20883962,20776304,19
ENSG00000188334,train,47956495,48087567,47992170,19
ENSG00000113916,test,187715268,187846340,187745727,3
ENSG00000175106,na,na,na,15563595,17
ENSG00000205497,train,4848727,4979799,4947605,11
ENSG00000142065,test,36301305,36432377,36379199,19
ENSG00000178860,train,71785365,71916437,71844468,8
ENSG00000064489,train,19142385,19273457,19192158,19
ENSG00000165475,train,20451385,20582457,20525857,13
ENSG00000281887,train,150654298,150785370,150716668,7
ENSG00000139915,test,47595829,47726901,47674954,14
ENSG00000230347,na,na,na,120951744,X
ENSG00000170049,train,7838199,7969271,7929803,17
ENSG00000256407,train,54153460,54284532,54200073,1
ENSG00000186416,test,119577480,119708552,119605895,X
ENSG00000107863,train,24675224,24806296,24723668,10
ENSG00000188393,valid,9904786,10035858,9932381,12
ENSG00000120280,valid,30510897,30641969,30577844,X
ENSG00000008869,train,37006601,37137673,37084342,2
ENSG00000236424,na,na,na,9527880,Y
ENSG00000106571,train,42184049,42315121,42237870,7
ENSG00000106536,train,38904099,39035171,38977998,7
ENSG00000135404,train,55649799,55780871,55729707,12
ENSG00000113594,train,38506629,38637701,38608354,5
ENSG00000129315,train,48630706,48761778,48716998,12
ENSG00000118137,train,116770856,116901928,116837950,11
ENSG00000133059,train,205147576,205278648,205211566,1
ENSG00000264187,train,17153257,17284329,17237185,17
ENSG00000134258,train,117128500,117259572,117210960,1
ENSG00000101868,valid,24661758,24792830,24693919,X
ENSG00000163705,train,10046647,10177719,10108231,3
ENSG00000085741,train,76106819,76237891,76210736,11
ENSG00000184160,train,3671918,3802990,3766348,4
ENSG00000184108,train,188085812,188216884,188139419,4
ENSG00000186970,train,30391083,30522155,30440275,21
ENSG00000204086,na,na,na,96883908,X
ENSG00000110031,train,58492607,58623679,58578220,11
ENSG00000125730,train,6619900,6750972,6730562,19
ENSG00000139971,test,58261906,58392978,58298139,14
ENSG00000168710,train,109912610,110043682,109984686,1
ENSG00000172785,na,na,na,179147,9
ENSG00000204300,train,123789949,123921021,123885642,11
ENSG00000011105,train,3027554,3158626,3077355,12
ENSG00000166803,train,64335529,64466601,64387687,15
ENSG00000112796,train,46115887,46246959,46170971,6
ENSG00000187260,train,151310288,151441360,151410727,7
ENSG00000131724,test,118659968,118791040,118727572,X
ENSG00000149201,train,86274664,86405736,86374736,11
ENSG00000186965,train,30391083,30522155,30487436,21
ENSG00000133731,train,81625215,81756287,81686693,8
ENSG00000100479,test,49660231,49791303,49688422,14
ENSG00000117408,train,43854417,43985489,43946939,1
ENSG00000054598,train,1503178,1634250,1609972,6
ENSG00000153531,train,113352218,113483290,113453524,13
ENSG00000169359,train,155762228,155893300,155854429,3
ENSG00000114739,train,38354672,38485744,38453851,3
ENSG00000179698,train,144031733,144162805,144107726,8
ENSG00000100526,test,54362480,54493552,54396849,14
ENSG00000130517,train,18289598,18420670,18340587,19
ENSG00000103494,train,53596572,53727644,53703938,16
ENSG00000118271,train,31538244,31669316,31591726,18
ENSG00000203546,test,31424680,31555752,31457441,14
ENSG00000099985,train,30161486,30292558,30266840,22
ENSG00000104691,train,30652065,30783137,30732247,8
ENSG00000163291,train,78863477,78994549,78939438,4
ENSG00000120438,na,na,na,159789749,6
ENSG00000159399,train,74726026,74857098,74833981,2
ENSG00000206262,train,138837686,138968758,138947234,3
ENSG00000119771,train,23296410,23427482,23385217,2
ENSG00000026508,test,35074550,35205622,35138870,11
ENSG00000153230,na,na,na,247738615,1
ENSG00000050820,train,75178643,75309715,75268053,16
ENSG00000266412,train,45994878,46125950,46030714,10
ENSG00000213030,train,48940480,49071552,49049106,19
ENSG00000145526,train,20466904,20597976,20575873,5
ENSG00000118520,train,131478235,131609307,131573144,6
ENSG00000033327,train,78337185,78468257,78418348,11
ENSG00000155636,train,178044122,178175194,178112424,2
ENSG00000147378,na,na,na,151716035,X
ENSG00000163206,train,152799574,152930646,152878317,1
ENSG00000168301,train,58427966,58559038,58492114,3
ENSG00000012504,train,100388317,100519389,100473708,12
ENSG00000005156,train,34873459,35004531,34980494,17
ENSG00000136709,train,127750727,127881799,127811187,2
ENSG00000171815,train,140962436,141093508,141051135,5
ENSG00000078098,train,162169164,162300236,162245151,2
ENSG00000028839,train,133905398,134036470,133952170,6
ENSG00000108509,train,4886244,5017316,4987652,17
ENSG00000156650,train,74765958,74897030,74825582,10
ENSG00000081059,train,134012253,134143325,134114711,5
ENSG00000166860,train,56896180,57027252,57006446,12
ENSG00000178473,train,5257920,5388992,5365009,10
ENSG00000203782,train,153193168,153324240,153259700,1
ENSG00000133937,test,94733008,94864080,94770230,14
ENSG00000258472,train,28510356,28641428,28614197,17
ENSG00000128563,na,na,na,102363872,7
ENSG00000179761,train,28903950,29035022,28950513,17
ENSG00000187862,train,156473118,156604190,156579727,1
ENSG00000196345,train,44455379,44586451,44555193,3
ENSG00000182533,train,8669068,8800140,8733800,3
ENSG00000145113,test,195743498,195874570,195812277,3
ENSG00000196865,train,113797363,113928435,113854661,10
ENSG00000128918,train,58431619,58562691,58497866,15
ENSG00000248592,train,52852051,52983123,52897562,3
ENSG00000163462,train,155095539,155226611,155173787,1
ENSG00000174963,train,147299957,147431029,147406860,3
ENSG00000273291,train,42749805,42880877,42809446,3
ENSG00000126464,train,49530871,49661943,49591643,19
ENSG00000228474,train,26969954,27101026,27071773,2
ENSG00000168876,train,94431598,94562670,94493629,11
ENSG00000263001,train,74595699,74726771,74657667,7
ENSG00000156017,train,74977249,75108321,75028423,9
ENSG00000186300,train,2749559,2880631,2841435,19
ENSG00000176200,train,59410993,59542065,59503576,11
ENSG00000151689,valid,190262078,190393150,190343470,2
ENSG00000135898,valid,230861984,230993056,230961066,2
ENSG00000154639,train,17402481,17533553,17512382,21
ENSG00000140015,test,63078844,63209916,63102037,14
ENSG00000101654,train,13654592,13785664,13726660,18
ENSG00000106123,train,142753060,142884132,142855061,7
ENSG00000205186,train,81362819,81493891,81461579,8
ENSG00000102575,test,11499647,11630719,11579008,19
ENSG00000240542,train,41105364,41236436,41189887,17
ENSG00000164056,train,123339599,123470671,123396795,4
ENSG00000151876,train,41852178,41983250,41925254,5
ENSG00000158555,train,75450829,75581901,75525903,11
ENSG00000182256,test,26946922,27077994,26971282,15
ENSG00000141437,train,31669442,31800514,31760880,18
ENSG00000163682,train,39398916,39529988,39458948,4
ENSG00000053108,train,133553060,133684132,133612564,5
ENSG00000137460,train,152859149,152990221,152936352,4
ENSG00000049541,train,74202105,74333177,74254458,7
ENSG00000205863,train,23796934,23928006,23902655,13
ENSG00000172367,train,119132420,119263492,119185457,11
ENSG00000283755,train,75637836,75768908,75726442,16
ENSG00000196850,train,110490563,110621635,110583320,12
ENSG00000153721,na,na,na,154510659,6
ENSG00000171793,train,40902462,41033534,40979335,1
ENSG00000124333,valid,155829817,155960889,155881293,X
ENSG00000165370,test,136985841,137116913,137031674,X
ENSG00000163785,train,134180157,134311229,134250744,3
ENSG00000114544,train,126045881,126176953,126101561,3
ENSG00000111962,train,148665173,148796245,148747328,6
ENSG00000146648,train,54910255,55041327,55019021,7
ENSG00000180090,train,3246269,3377341,3298360,17
ENSG00000101222,train,3676931,3808003,3781448,20
ENSG00000120688,train,40983872,41114944,41061274,13
ENSG00000120071,na,na,na,46225389,17
ENSG00000165502,test,49545542,49676614,49620685,14
ENSG00000180667,train,206984348,207115420,207052980,1
ENSG00000138395,valid,201730978,201862050,201790461,2
ENSG00000108179,train,79292289,79423361,79347469,10
ENSG00000104327,train,90043756,90174828,90095475,8
ENSG00000162999,train,183029646,183160718,183078559,2
ENSG00000132740,train,68857249,68988321,68903842,11
ENSG00000112320,train,107403402,107534474,107489958,6
ENSG00000170525,train,6045108,6176180,6144934,10
ENSG00000165555,na,na,na,77423517,14
ENSG00000166432,na,na,na,101932031,X
ENSG00000084734,train,27429147,27560219,27496842,2
ENSG00000198258,test,9779312,9910384,9827892,19
ENSG00000167460,train,15993633,16124705,16067021,19
ENSG00000149798,train,65249304,65380376,65314818,11
ENSG00000153404,train,10000,141072,92151,5
ENSG00000103269,train,600391,731463,675666,16
ENSG00000169660,train,82323925,82454997,82418318,17
ENSG00000136875,train,113221466,113352538,113275343,9
ENSG00000226174,na,na,na,105398579,14
ENSG00000249961,train,66716372,66847444,66801620,16
ENSG00000171872,train,44051214,44182286,44118850,1
ENSG00000175792,train,128079450,128210522,128153914,3
ENSG00000154265,train,69247335,69378407,69327244,17
ENSG00000151849,train,24846518,24977590,24922889,13
ENSG00000182795,train,206984348,207115420,207032756,1
ENSG00000158864,train,161130647,161261719,161197104,1
ENSG00000106009,valid,2534022,2665094,2555727,7
ENSG00000161999,train,600391,731463,684528,16
ENSG00000151116,train,18493319,18624391,18588747,11
ENSG00000109072,train,28313559,28444631,28373091,17
ENSG00000022556,na,na,na,54953130,19
ENSG00000119314,train,112237481,112368553,112333667,9
ENSG00000103569,train,58038025,58169097,58138169,15
ENSG00000089472,valid,66139433,66270505,66162549,X
ENSG00000259112,train,78009190,78140262,78079865,11
ENSG00000165246,na,na,na,14522638,Y
ENSG00000109906,train,113950099,114081171,114059593,11
ENSG00000122484,train,92200880,92331952,92298965,1
ENSG00000123119,train,90699746,90830818,90791550,8
ENSG00000134262,train,113848550,113979622,113905201,1
ENSG00000171873,train,4201723,4332795,4249074,20
ENSG00000143621,train,153586762,153717834,153671048,1
ENSG00000184613,train,44825964,44957036,44921848,12
ENSG00000105550,train,48678084,48809156,48755559,19
ENSG00000171861,train,687908,818980,782273,17
ENSG00000126870,train,158788574,158919646,158856578,7
ENSG00000174982,valid,55611975,55743047,55648327,11
ENSG00000244754,train,32456002,32587074,32538885,13
ENSG00000156265,train,29013504,29144576,29077471,21
ENSG00000119487,train,125619677,125750749,125707234,9
ENSG00000215148,train,2699559,2830631,2798485,16
ENSG00000184486,train,98744334,98875406,98834592,6
ENSG00000137699,train,120116405,120247477,120185529,11
ENSG00000163635,train,63807084,63938156,63864557,3
ENSG00000135069,train,78191600,78322672,78297143,9
ENSG00000178425,train,115996871,116127943,116100849,6
ENSG00000142541,train,49399673,49530745,49487554,19
ENSG00000169714,train,129129034,129260106,129183922,3
ENSG00000011052,train,51076412,51207484,51153590,17
ENSG00000014914,train,149847619,149978691,149936869,1
ENSG00000283683,train,171495289,171626361,171600621,1
ENSG00000027644,train,156801113,156932185,156859018,1
ENSG00000114638,train,119092387,119223459,119173517,3
ENSG00000197993,train,142884258,143015330,142962681,7
ENSG00000214456,train,4455133,4586205,4535224,19
ENSG00000072415,test,67207648,67338720,67241109,14
ENSG00000174236,train,27605533,27736605,27696519,12
ENSG00000145826,train,135849025,135980097,135955034,5
ENSG00000249860,train,55545451,55676523,55599303,10
ENSG00000066427,na,na,na,92106621,14
ENSG00000178700,train,93967970,94099042,94063389,3
ENSG00000152266,train,13442196,13573268,13496181,11
ENSG00000138363,valid,215264280,215395352,215311817,2
ENSG00000174652,na,na,na,9435578,19
ENSG00000110713,train,3733544,3864616,3797792,11
ENSG00000110697,train,67414071,67545143,67506263,11
ENSG00000148291,train,133294760,133425832,133356552,9
ENSG00000173464,test,20529225,20660297,20609884,14
ENSG00000203805,train,120357263,120488335,120456954,10
ENSG00000053371,train,19210727,19341799,19312146,1
ENSG00000185437,train,39378146,39509218,39445855,21
ENSG00000083093,train,23537609,23668681,23641310,16
ENSG00000181610,train,57767510,57898582,57850056,17
ENSG00000111537,train,68113609,68244681,68159747,12
ENSG00000175305,train,94832483,94963555,94896678,8
ENSG00000163430,train,120404367,120535439,120451253,3
ENSG00000145506,train,928386,1059458,1008829,5
ENSG00000187186,train,34580673,34711745,34666112,9
ENSG00000143554,train,153717960,153849032,153774354,1
ENSG00000167699,train,687908,818980,783390,17
ENSG00000165699,train,132835567,132966639,132944633,9
ENSG00000183117,train,4927453,5058525,4994972,8
ENSG00000117174,train,85640980,85772052,85708433,1
ENSG00000145850,train,156876507,157007579,156963255,5
ENSG00000124157,valid,45153683,45284755,45221300,20
ENSG00000161973,train,8690986,8822058,8745219,17
ENSG00000124194,na,na,na,44247099,20
ENSG00000238243,valid,247842551,247973623,247895587,1
ENSG00000149573,train,118214034,118345106,118264536,11
ENSG00000183662,train,67939821,68070893,68004216,3
ENSG00000132581,train,28575955,28707027,28662189,17
ENSG00000166794,train,64073133,64204205,64163205,15
ENSG00000152254,train,168794663,168925735,168901240,2
ENSG00000120068,train,48518051,48649123,48614939,17
ENSG00000106399,train,7613376,7744448,7718607,7
ENSG00000147813,train,143506941,143638013,143578649,8
ENSG00000099331,train,16977618,17108690,17075781,19
ENSG00000182687,train,76004032,76135104,76074794,17
ENSG00000057757,train,23671459,23802531,23778405,1
ENSG00000104067,train,29896054,30027126,29968865,15
ENSG00000044115,train,138538584,138669656,138610967,5
ENSG00000274209,train,46191675,46322747,46286345,10
ENSG00000106789,train,98133696,98264768,98192640,9
ENSG00000198554,test,54935925,55066997,55027105,14
ENSG00000141756,train,41761354,41892426,41812680,17
ENSG00000180758,train,9043794,9174866,9129170,1
ENSG00000154370,train,228332063,228463135,228406840,1
ENSG00000180549,train,136940694,137071766,137033010,9
ENSG00000173421,train,49112908,49243980,49198428,3
ENSG00000204310,train,32077701,32208773,32178096,6
ENSG00000111707,train,118296844,118427916,118376380,12
ENSG00000105852,train,95324983,95456055,95396368,7
ENSG00000269699,test,56803165,56934237,56840729,19
ENSG00000149932,train,29835113,29966185,29940885,16
ENSG00000169896,train,31212692,31343764,31259990,16
ENSG00000012983,test,50463054,50594126,50561126,14
ENSG00000149571,train,126938701,127069773,127003460,11
ENSG00000052850,test,44249670,44380742,44310166,11
ENSG00000164024,train,98936771,99067843,98995620,4
ENSG00000232113,train,173528858,173659930,173635333,1
ENSG00000108474,train,16169272,16300344,16217191,17
ENSG00000284626,train,90158377,90289449,90234200,15
ENSG00000204653,train,50449257,50580329,50514690,19
ENSG00000120705,train,138472985,138604057,138543300,5
ENSG00000082684,train,122962728,123093800,123028605,3
ENSG00000197635,train,161972367,162103439,162074542,2
ENSG00000136045,train,107604207,107735279,107685732,12
ENSG00000119242,train,123872759,124003831,123972831,12
ENSG00000119042,valid,199437198,199568270,199471266,2
ENSG00000152147,train,38646576,38777648,38751534,2
ENSG00000027001,train,23796934,23928006,23889419,13
ENSG00000109920,test,47690340,47821412,47767443,11
ENSG00000173627,train,183565505,183696577,183653316,1
ENSG00000183733,train,70724487,70855559,70790643,2
ENSG00000126785,na,na,na,63204114,14
ENSG00000101076,na,na,na,44355700,20
ENSG00000226979,train,31487310,31618382,31572054,6
ENSG00000139132,train,32328661,32459733,32399529,12
ENSG00000283189,train,49375304,49506376,49429314,3
ENSG00000164318,train,38178634,38309706,38258409,5
ENSG00000205339,train,9309459,9440531,9384622,11
ENSG00000197506,train,84292307,84423379,84340683,9
ENSG00000162267,train,52720853,52851925,52794768,3
ENSG00000214511,train,50861072,50992144,50953922,12
ENSG00000266086,train,57898708,58029780,58005253,17
ENSG00000111203,train,2765158,2896230,2812622,12
ENSG00000133703,train,25178370,25309442,25250936,12
ENSG00000140470,train,100260623,100391695,100342005,15
ENSG00000131044,valid,31849759,31980831,31870702,20
ENSG00000115226,train,27429147,27560219,27495245,2
ENSG00000071564,train,1568777,1699849,1652605,19
ENSG00000140983,train,600391,731463,668086,16
ENSG00000168517,train,45106903,45237975,45160700,17
ENSG00000215262,train,36687173,36818245,36784324,8
ENSG00000164117,train,174178824,174309896,174284264,4
ENSG00000152910,train,76228227,76359299,76277278,16
ENSG00000262664,train,1934289,2065361,2041936,17
ENSG00000181013,train,58489099,58620171,58544368,17
ENSG00000075856,train,108456994,108588066,108561400,12
ENSG00000139800,valid,99893486,100024558,99971909,13
ENSG00000180773,train,93119618,93250690,93197964,11
ENSG00000007314,train,63868217,63999289,63972918,17
ENSG00000133710,train,147915930,148047002,148025683,5
ENSG00000157823,train,89830382,89961454,89894638,15
ENSG00000164123,train,158959856,159090928,159038760,4
ENSG00000186088,train,77350857,77481929,77416400,7
ENSG00000154237,train,100851014,100982086,100919215,15
ENSG00000178988,train,6623873,6754945,6709880,4
ENSG00000213983,test,23511139,23642211,23568070,14
ENSG00000023608,test,61702576,61833648,61762357,14
ENSG00000083099,train,89567112,89698184,89638753,6
ENSG00000175063,valid,45727128,45858200,45812576,20
ENSG00000181450,train,227479276,227610348,227563543,1
ENSG00000132356,train,40736995,40868067,40798374,5
ENSG00000275688,train,35923043,36054115,36001621,17
